token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
Northern India,Q1058785,North India,group of Northern Indian states,Northern Indian classical music;Northern Indiana Commuter Transportation District;Northern Indiana Hospital for the Insane;Northern Indiana Normal School and Business Institute;northern India,Q1058785;Q108136656;Q129641776;Q1770695;Q186047;Q19577447;Q22390347;Q31313;Q6667289;Q7058433,Hindustani classical music;Logansport State Hospital;North India;Northern India cricket team;Northern Indian Lake;Northern Indian Ocean;Northern Indiana;Northern Indiana Commuter Transportation District;South Shore Line;Valparaiso University,";Lutheran university in Valparaiso, Indiana, US;art music of northern regions of the Indian subcontinent;group of Northern Indian states;hospital in Indiana, United States;lake in Manitoba, Canada;northern part of the Indian Ocean;rail line in Indiana;region of Indiana, United States;w/Q : Maxamed Cawil Xuseen",0.95,"{'type': 'alias', 'language': 'en', 'text': 'northern India'}",Q82794,region,,,,
Northern Iran,Q5686841,Northern Iran,region of Iran bordering the Caspian Sea,,Q5686841;Q91868746,Northern Iran;Northern Iranian growth charts for children aged 7-11 years: comparison with international reference curves,region of Iran bordering the Caspian Sea;scientific article published on 18 February 2019,1.0,"{'type': 'label', 'language': 'en', 'text': 'Northern Iran'}",Q82794,region,,,,
Northern Ireland,Q26,Northern Ireland,part of the United Kingdom situated on the island of Ireland,Northern Ireland conflict;Northern Ireland statutory rules,Q105400764;Q190978;Q26;Q285714;Q57196736;Q7058448;Q7604693;Q815436;Q99984244;Q99984259,Northern Ireland;Northern Ireland Assembly;Northern Ireland Department of Education schools list;Northern Ireland Statutory Rules 1996;Northern Ireland Statutory Rules 2010;Northern Ireland men's national association football team;The Troubles;statutory rules of Northern Ireland,1960s–1990s conflict in Northern Ireland;DAB multiplex;constituency of the European Parliament;legislature of Northern Ireland;list maintained by the Northern Ireland Department of Education of NI schools;men's national association football team representing Northern Ireland;part of the United Kingdom situated on the island of Ireland;secondary legislation in Northern Ireland;set of Statutory Rules of Northern Ireland made in 1996;set of Statutory Rules of Northern Ireland made in 2010,1.0,"{'type': 'label', 'language': 'en', 'text': 'Northern Ireland'}",Q3336843,constituent country of the United Kingdom,,,Q22890,Ireland
Northern Levant,Q111145615,Northern Levant,region in the Eastern Mediterranean,,Q111145615;Q58394314,Northern Levant;Northern Levantine and Adriatic Quaternary planktic foraminifera; Reconstruction of paleoenvironmental gradients,;region in the Eastern Mediterranean,1.0,"{'type': 'label', 'language': 'en', 'text': 'Northern Levant'}",Q82794,region,,,Q81483,Levant
Northern Mesopotamia,Q125270648,Northern Mesopotamia,,,Q125270648;Q125270653,Northern Mesopotamia,,1.0,"{'type': 'label', 'language': 'en', 'text': 'Northern Mesopotamia'}",Q21481766,scholarly chapter,,,,
Northern Mexico,Q6104194,Northern Mexico,geographic and cultural region of Mexico,,Q6104194,Northern Mexico,geographic and cultural region of Mexico,1.0,"{'type': 'label', 'language': 'en', 'text': 'Northern Mexico'}","Q3502482,Q82794","cultural region,region",,,Q96,Mexico
Northern and Western Europe,,,,,,,,0.0,,,,,,,
Northwest Iran,Q390576,Northwestern Iranian,language family,Northwest Iranian,Q390576,Northwestern Iranian,language family,0.8,"{'type': 'alias', 'language': 'en', 'text': 'Northwest Iranian'}",Q25295,language family,Q129850,Western Iranian,,
Norway,Q20,Norway,country in Northern Europe,Norway;Norway rat;Norway spruce,Q145992;Q184224;Q184387;Q20;Q2196956;Q2480177;Q2597352;Q2734330;Q37284541;Q98777096,Kingdom of Norway;Norway;Norway men's national association football team;Picea abies;brown rat,"city in Dickinson County, Michigan, United States;country in Northern Europe;family name;former Kingdom from 872 to 1397;male given name;national association football team representing Norway;short-lived monarchy in Northern Europe (1814);species of mammal;species of plant;town in Maine, USA",1.0,"{'type': 'label', 'language': 'en', 'text': 'Norway'}","Q3624078,Q6256","country,sovereign state",,,"Q21195,Q27479,Q46,Q52062,Q604496,Q73169,Q8932","Europe,European Economic Area,Fennoscandia,Nordic countries,Northern Europe,Scandinavia,Scandinavian Peninsula"
Nottinghamshire,Q67535681,Nottinghamshire,historic county of England,Nottinghamshire history,Q16934215;Q17582075;Q21272736;Q23092;Q3344790;Q57208320;Q5865743;Q60576055;Q67535681;Q7063728,Nottinghamshire;Nottinghamshire County Council;Nottinghamshire County Cricket Club;history of Nottinghamshire,"Constituency of the Parliament of England (to 1707);DAB multiplex;Parliamentary constituency in the United Kingdom, 1801-1832;Watsonian vice-county;aspect of history;ceremonial county of England;historic county of England;non-metropolitan county (doesn't include Nottingham);sports club;upper-tier local authority for the non-metropolitan county of Nottinghamshire in England",1.0,"{'type': 'label', 'language': 'en', 'text': 'Nottinghamshire'}",Q1138494,historic county of England,,,Q21,England
Nova Scotia,Q1952,Nova Scotia,province of Canada,Nova Scotia College of Art and Design;Nova Scotia PCs;Nova Scotia medical bulletin,Q1131966;Q1952;Q27712322;Q2868020;Q3366494;Q3878992;Q5260519;Q7064099;Q83631506;Q98931415,NSCAD University;Nova Scotia;Nova Scotia Department of Public Works;Nova Scotia Liberal Party;Progressive Conservative Association of Nova Scotia;The Nova Scotia medical bulletin,"British former colony;Canadian political party, moderate right-of-centre, based in Nova Scotia;album by Cousteau;art school;government ministry in Nova Scotia;historic nineteenth century public house situated on Spike Island adjacent to the Cumberland Basin in Bristol Harbour in Bristol, England;journal;political party in Nova Scotia, Canada;province of Canada;ship built in 1965",1.0,"{'type': 'label', 'language': 'en', 'text': 'Nova Scotia'}",Q11828004,province of Canada,,,,
Nubia and Sudan,,,,,,,,0.0,,,,,,,
Nubia; Sudan,,,,,,,,0.0,,,,,,,
Numidia,Q107306453,Numidia,genus of molluscs,Numidia,Q103960143;Q107306453;Q113663722;Q118271033;Q1184302;Q12901244;Q138451;Q2916416;Q35761;Q64774987,1368 Numidia;Numidia;Numidia (Pauly-Wissowa);Numidian;Numidians,"Berber people in ancient Northern Africa;CDP in southern Columbia County, Pennsylvania;Dutch singer;Olive oil trademark of Algeria;Roman province;asteroid;encyclopedia article;encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE);genus of molluscs;language spoken in ancient North Africa",1.0,"{'type': 'label', 'language': 'en', 'text': 'Numidia'}",Q16521,taxon,,,,
Nuzi,Q123349692,Nuzi,family name,Nuzillard;Nuzividi mandal,Q103960164;Q114264863;Q12041496;Q123349692;Q124322478;Q18128880;Q37837625;Q584605;Q700907;Q8556261,Jean-Marc Nuzillard;Nuzi;Nuziar binti Agoes St. Palimo;Nuzice;Nuzirwan;Nuzvid mandal;Nuzířov;Nüziders,";ancient Mesopotamian city;encyclopedia article;family name;mandal in Eluru district, Andhra Pradesh, India;municipality in Bludenz District, Vorarlberg, Austria;neighborhood of Týn nad Vltavou;researcher;village in Brno-venkov District of South Moravian region",1.0,"{'type': 'label', 'language': 'en', 'text': 'Nuzi'}",Q101352,family name,,,,
Ogasa,Q7079823,Ogasa,"dissolved municipality in Ogasa district, Shizuoka prefecture, Japan (1954-2005)",Ogasawara-guntō,Q1022925;Q10607917;Q11463430;Q13383295;Q13913982;Q243634;Q27168875;Q7079823;Q7079825;Q7079840,Bonin Islands;Ogasa;Ogasa district;Ogasawara Archipelago;Ogasawara Village;Ogasawaracris;Ogasawaracris gloriosus;Ogasawarana,"Japanese administrative division covering the several communities on the Ogasawara Archipelago, coterminous with Tokyo's Ogasawara Subprefecture;Japanese family name (折笠);North Pacific island group belonging to Japan;dissolved municipality in Ogasa district, Shizuoka prefecture, Japan (1940-1954);dissolved municipality in Ogasa district, Shizuoka prefecture, Japan (1954-2005);former district in Shizuoka prefecture, Japan;genus of gastropods;genus of grasshoppers;species of insect;the geographical description of Tokyo's Ogasawara Subprefecture, including the Bonin and Volcano island groups along with three isolated islands, chiefly as a calque of the Japanese 'Ogasawara-Shotō'",1.0,"{'type': 'label', 'language': 'en', 'text': 'Ogasa'}","Q106071744,Q18663566","dissolved municipality of Japan,former town",,,,
Ogasa-gun (Japan,,,,,,,,0.0,,,,,,,
Ohio,Q1397,Ohio,state of the United States of America,Ohio;Ohio College Library Center,Q124545486;Q125994497;Q130570939;Q133272579;Q133272608;Q1397;Q190593;Q23003188;Q309331;Q4915,"OCLC, Inc.;Ohio;Ohio River;Ohio State University;USS Turquoise","2020 original song written by Tim Anderson and Mikaela Mullaney Straus, and performed by King Princess;family name;global library cooperative;original song written and compose dby Serge Gainsbourg; performed by Isabelle Adjani;private motor yacht, later a patrol yacht for the U.S. Navy and Ecuadorian Navy;public research university in Columbus, Ohio, United States;river in the midwestern United States;state of the United States of America;vocal track by Isabelle Adjani; 1983 studio recording;vocal track by King Princess; 2020 studio recording",1.0,"{'type': 'label', 'language': 'en', 'text': 'Ohio'}",Q35657,U.S. state,,,"Q186545,Q578170","Midwestern United States,contiguous United States"
Okinawa,Q600614,Okinawa,smallest of the five main islands of Japan,Okinawa,Q106234707;Q106782702;Q14560080;Q2213979;Q328615;Q34233;Q600614;Q697589;Q7082022;Q766445,13188 Okinawa;Okinawa;Okinawa Institute of Science and Technology;Okinawa Islands;Okinawa Prefecture;Okinawa Rush;Okinawan;Okinawayusurika,";2021 video game;Japanese island group;Northern Ryukyuan language;asteroid;city in Okinawa prefecture, Japan;genus of insects;prefecture of Japan;private university in Onna, Japan;smallest of the five main islands of Japan",1.0,"{'type': 'label', 'language': 'en', 'text': 'Okinawa'}",Q23442,island,,,,
Okinawa Islands,Q697589,Okinawa Islands,Japanese island group,,Q697589,Okinawa Islands,Japanese island group,1.0,"{'type': 'label', 'language': 'en', 'text': 'Okinawa Islands'}",Q1402592,island group,,,Q10905515,Ryukyu Islands
Old City of Jerusalem and its Walls,Q15726304,Old City of Jerusalem and its Walls,world heritage site,,Q15726304,Old City of Jerusalem and its Walls,world heritage site,1.0,"{'type': 'label', 'language': 'en', 'text': 'Old City of Jerusalem and its Walls'}","Q15661340,Q210272,Q676050,Q9259","World Heritage Site,ancient city,cultural heritage,old town",,,,
Olt County,Q188945,Olt County,county in Romania,Olt County COVID-19 pandemic,Q104720284;Q18544527;Q188945;Q89485177;Q89588586,COVID-19 pandemic in Olt County;Olt County;Olt County Council;Olt County councillor,";county in Romania;county of the Kingdom of Romania;elected assembly of Olt County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Olt County'}",Q1776764,county of Romania,,,,
Oltenia,Q208629,Oltenia,historical province and geographical region of Romania,Oltenia Philharmonic Orchestra;Oltenian Sahara;Olténiai Metropólia,Q106078232;Q122884291;Q12735764;Q127425846;Q136760053;Q1788383;Q208629;Q23828919;Q5181788;Q97552542,"Craiova ""Oltenia"" Philharmonic Orchestra;Desertification in Oltenia;Metropolis of Oltenia;Oltenia;Oltenia 3TV;Oltenia Day;Oltenia Journal for Studies in Natural Sciences;Oltenia Region;Oltenia-Studii şi comunicări. Seria arheologie-istorie-etnografie-artă;Oltenian dialect",";Romanian dialect;Romanian holiday celebrated on 21 March;Romanian symphony orchestra;area under desertification in Dolj County, Oltenia, in Romania;historical province and geographical region of Romania;scientific journal",1.0,"{'type': 'label', 'language': 'en', 'text': 'Oltenia'}",Q1620908,historical region,,,,
Oman,Q842,Oman,sovereign state in western Asia,Oman;Omang,Q10609493;Q10609516;Q12000505;Q13918545;Q157734;Q20520262;Q206830;Q3618856;Q7089535;Q842,Muscat and Oman;Oman;Oman Journal of Ophthalmology;Oman Medical Journal;Oman men's national football team;Omanana;Omanolidia;Simen Oscar Fredrik Omang,Norwegian botanist (1867-1953);Peer-reviewed medical journal;family name;genus of fishes;genus of insects;journal;men's national association football team representing Oman;monarchy on the Arab Peninsula between 1820-1970;sovereign state in western Asia,1.0,"{'type': 'label', 'language': 'en', 'text': 'Oman'}","Q12759805,Q3624078,Q6256","country,sovereign state,sultanate",,,"Q109647832,Q27293,Q66458647,Q7204","European Union tax haven blacklist,Gulf States,Middle East,West Asia"
Oppidum de Bibracte,Q19221875,Oppidum de Bibracte - 1876,,,Q19221875,Oppidum de Bibracte - 1876,,0.8,"{'type': 'label', 'language': 'fr', 'text': 'Oppidum de Bibracte - 1876'}",,,,,,
Orinoco River,Q131792,Orinoco River,river in South America,,Q131792;Q2030837,Orinoco River;Orinoco River Crossing,;river in South America,1.0,"{'type': 'label', 'language': 'en', 'text': 'Orinoco River'}","Q4022,Q573344","main stem,river",,,,
Ottoman Empire,Q12560,Ottoman Empire,multiethnic empire with the monarchs from the Ottoman dynasty (1299–1922),Ottoman Empire Ministry of Public Works;Ottoman Empire ambassador;Ottoman Empire culture;Ottoman Empire history;Ottoman Empire law,Q12560;Q129875483;Q135081915;Q15679796;Q224606;Q2564225;Q29971375;Q4338045;Q6096161;Q96327662,Ottoman Department of Public Works;Ottoman Empire;Ottoman Empire and its Heritage;Ottoman Empire in World War I;Ottoman Empire: Spectacular Millennium;ambassador of the Ottoman Empire;culture of the Ottoman Empire;history of the Ottoman Empire;law of the Ottoman Empire,2019 video game developed by CDIS Lab.;Ottoman government ministry;academic journal;aspect of history;multiethnic empire with the monarchs from the Ottoman dynasty (1299–1922);overview of the laws of the Ottoman Empire;pattern of human activity and symbolism associated with the Ottoman Empire and its people;scholarly chapter;since 1302 to 1922,1.0,"{'type': 'label', 'language': 'en', 'text': 'Ottoman Empire'}",Q3024240,historical country,,,Q152283,Central Powers
